ville,quartier,type_bien,etat,superficie,chambres,salles_bain,etage,age,ascenseur,parking,piscine,jardin,securite,prix,prix_m2,date_mise_en_vente
Agadir,Sonaba,Villa,À rénover,357,4,2,0,12,False,False,True,True,False,2974442,8331,2024-12-18
Fès,Route Immouzer,Villa,À rénover,332,3,2,0,12,False,True,True,True,True,2048748,6170,2024-11-21
Fès,Médina,Appartement,Neuf,118,6,2,2,0,False,True,True,False,True,894617,7581,2024-10-06
Meknès,Plaisance,Riad,Bon état,293,1,1,0,6,False,False,True,True,True,2321929,7924,2024-10-02
Fès,Médina,Villa,Bon état,382,6,1,0,34,False,True,False,True,True,2363637,6187,2024-09-29
Agadir,Founty,Terrain,En construction,1790,0,0,0,0,False,True,False,False,False,10858177,6066,2024-09-08
Casablanca,CIL,Villa,Neuf,478,2,1,0,0,False,True,True,True,False,8049935,16840,2025-02-12
Tanger,Centre Ville,Riad,En construction,377,4,3,0,0,False,True,True,True,True,3961666,10508,2024-09-13
Casablanca,Bourgogne,Villa,En construction,202,6,2,0,0,False,True,True,True,True,1663451,8234,2025-01-05
Marrakech,Palmeraie,Maison,À rénover,157,6,2,0,33,False,True,False,False,False,676444,4308,2025-01-06
Casablanca,Gauthier,Villa,À rénover,179,1,1,0,25,False,True,True,True,True,1552728,8674,2025-01-11
Oujda,Hay Essalam,Villa,Bon état,150,3,3,0,15,True,True,True,True,True,1073856,7159,2024-11-21
Fès,Route Immouzer,Terrain,Bon état,500,0,0,0,36,False,True,False,False,False,1948869,3897,2024-11-01
Tanger,Boukhalef,Villa,En construction,316,1,1,0,0,False,True,True,True,False,2772509,8773,2024-10-28
Agadir,Sonaba,Terrain,En construction,1025,0,0,0,0,False,True,False,False,True,5348085,5217,2025-02-17
Fès,Route Immouzer,Villa,En construction,253,3,2,0,0,False,True,True,True,True,2217656,8765,2024-09-29
Agadir,Centre,Villa,Neuf,481,6,3,0,0,False,False,True,True,True,5808895,12076,2024-10-14
Meknès,Hamria,Terrain,En construction,990,0,0,0,0,False,False,False,False,True,3564438,3600,2025-01-04
Casablanca,Racine,Riad,À rénover,349,5,3,0,48,False,True,True,False,True,1293077,3705,2025-01-03
Agadir,Sonaba,Villa,À rénover,381,3,2,0,35,False,True,True,True,True,1123686,2949,2024-09-09
Fès,Atlas,Maison,À rénover,262,6,2,0,38,False,True,False,True,True,742114,2832,2024-09-29
Casablanca,Maarif,Terrain,À rénover,1029,0,0,0,44,False,True,False,False,True,4117577,4001,2025-01-12
Meknès,Marjane,Maison,Neuf,246,2,2,0,0,False,True,False,True,True,1983681,8063,2024-12-04
Casablanca,Bourgogne,Villa,Bon état,477,2,2,0,23,False,False,True,True,False,2705330,5671,2024-09-30
Agadir,Talborjt,Riad,En construction,392,2,2,0,0,False,True,True,False,True,4951783,12632,2024-10-24
Rabat,Hassan,Villa,En construction,369,3,3,0,0,False,True,True,False,True,3932833,10658,2024-12-19
Tanger,Cap Spartel,Terrain,Neuf,1982,0,0,0,0,False,False,False,False,True,21483886,10839,2024-10-09
Oujda,Angad,Riad,Neuf,338,3,3,0,0,False,False,False,True,False,2750103,8136,2025-02-17
Tanger,Centre Ville,Terrain,En construction,1285,0,0,0,0,False,True,False,False,True,7914401,6159,2024-12-19
Rabat,Les Orangers,Local commercial,Neuf,442,0,0,0,0,False,True,False,False,False,6480076,14660,2025-01-27
Casablanca,Racine,Local commercial,À rénover,147,0,0,0,40,False,True,False,False,False,1070347,7281,2025-01-17
Meknès,Centre Ville,Villa,Bon état,409,2,1,0,27,False,True,True,True,True,1643682,4018,2024-10-21
Tanger,Cap Spartel,Terrain,Neuf,1574,0,0,0,0,False,True,False,False,False,11091642,7046,2025-03-03
Rabat,Les Orangers,Local commercial,En construction,448,0,0,0,0,False,False,False,False,False,4348430,9706,2025-02-28
Casablanca,Anfa,Appartement,En construction,160,4,2,2,0,False,False,False,False,True,1420864,8880,2024-10-31
Fès,Atlas,Villa,Neuf,295,6,4,0,0,False,True,True,True,True,2907965,9857,2025-01-08
Oujda,Hay Essalam,Local commercial,En construction,429,0,0,0,0,False,False,False,False,True,3247824,7570,2024-12-02
Rabat,Souissi,Terrain,Bon état,1521,0,0,0,37,False,True,False,False,False,11574670,7609,2024-09-10
Casablanca,Maarif,Riad,Neuf,214,4,1,0,0,False,False,True,True,True,3924076,18336,2025-01-23
Meknès,Hamria,Local commercial,En construction,494,0,0,0,0,False,False,False,False,False,3624295,7336,2024-12-15
Rabat,Souissi,Appartement,À rénover,198,4,3,5,32,False,True,False,False,True,1101716,5564,2024-09-30
Agadir,Founty,Villa,Bon état,176,2,2,0,9,False,True,True,True,False,1440184,8182,2025-02-02
Casablanca,Maarif,Villa,Neuf,323,4,3,0,0,False,False,False,True,True,5012718,15519,2025-01-09
Rabat,Hassan,Terrain,Bon état,1448,0,0,0,31,False,False,False,False,False,8158382,5634,2025-02-18
Agadir,Centre,Villa,À rénover,492,6,2,0,47,False,False,True,False,True,2105910,4280,2024-11-30
Marrakech,Gueliz,Villa,En construction,298,6,1,0,0,False,True,True,True,False,3021135,10138,2025-02-05
Oujda,Hay Essalam,Terrain,En construction,706,0,0,0,0,False,False,False,False,False,3633818,5147,2025-01-03
Marrakech,Médina,Appartement,Neuf,162,4,2,4,0,True,True,False,False,True,2842839,17548,2024-11-18
Oujda,Hay El Qods,Villa,Neuf,194,4,4,0,0,False,False,False,True,False,1839818,9483,2024-11-20
Agadir,Founty,Villa,En construction,496,5,3,0,0,False,True,True,True,True,3409567,6874,2024-10-16
Agadir,Centre,Terrain,Neuf,643,0,0,0,0,False,False,False,False,True,3954778,6150,2025-02-05
Rabat,Hay Riad,Terrain,À rénover,612,0,0,0,27,False,False,False,False,False,2258615,3690,2025-02-23
Fès,Atlas,Appartement,En construction,42,1,1,6,0,True,True,False,False,True,289139,6884,2025-02-20
Fès,Ville Nouvelle,Riad,Bon état,268,6,1,0,37,False,True,True,True,False,2016410,7523,2024-10-01
Meknès,Hamria,Appartement,À rénover,152,2,2,14,22,False,True,False,False,False,514090,3382,2025-01-27
Meknès,Centre Ville,Riad,En construction,260,6,2,0,0,False,True,True,False,True,1904601,7325,2024-09-13
Marrakech,Amerchich,Terrain,À rénover,1179,0,0,0,28,False,True,False,False,True,5164458,4380,2024-10-28
Rabat,Agdal,Terrain,En construction,1118,0,0,0,0,False,True,False,False,True,8127117,7269,2024-09-28
Meknès,Marjane,Terrain,Neuf,886,0,0,0,0,False,True,False,False,False,5812611,6560,2025-02-25
Agadir,Sonaba,Appartement,Neuf,69,1,1,8,0,False,True,False,False,True,719121,10422,2025-02-19
Marrakech,Amerchich,Maison,À rénover,166,2,2,0,20,False,True,False,True,True,1013788,6107,2024-10-11
Fès,Médina,Riad,Bon état,221,1,1,0,7,False,True,True,True,False,1762525,7975,2024-09-08
Tanger,Boukhalef,Villa,Neuf,309,2,2,0,0,True,False,False,True,True,4841548,15668,2024-11-21
Fès,Médina,Appartement,À rénover,173,5,3,7,17,True,False,False,True,True,727656,4206,2024-10-10
Marrakech,Gueliz,Villa,En construction,438,5,2,0,0,False,True,True,True,False,7617303,17391,2025-01-22
Meknès,Hamria,Riad,Bon état,143,1,1,0,38,False,True,True,True,False,473582,3311,2024-11-11
Casablanca,Maarif,Villa,En construction,289,6,3,0,0,False,True,True,True,False,4924564,17040,2025-01-24
Tanger,Centre Ville,Riad,À rénover,177,4,4,0,7,False,True,True,True,True,1014121,5729,2024-09-21
Rabat,Hassan,Appartement,À rénover,104,2,1,1,27,False,True,False,False,True,410819,3950,2025-02-22
Agadir,Sonaba,Local commercial,À rénover,199,0,0,0,17,False,False,False,False,True,851440,4278,2025-03-03
